RefDes,Block,Description,Manufacturer,Representative Part Number,Package,Qty,Approx Unit Cost (USD, ROM),Approx Ext Cost (USD, ROM),Preferred Distributor,Status,Notes
J1,Connectors,DC-IN pluggable screw terminal 2-pos 5.08mm,Phoenix Contact,MKDS 3/2-5.08,THT 5.08mm pluggable,1,1.50,1.50,DigiKey/Mouser,Captured - 01_power (as-built),"As-built part differs from the architecture doc's originally specified Phoenix Contact MSTB 2,5/2-G-5.08 class - both are 5.08mm pluggable screw-terminal families satisfying SWA-HWR-305; confirm which family procurement should lock before release"
J2,Connectors,Solar-IN pluggable screw terminal 2-pos 5.08mm,Phoenix Contact,MSTB 2,5/2-G-5.08 class,THT 5.08mm pluggable,1,1.50,1.50,DigiKey/Mouser,Planned - not yet in KiCad,Same family as J1 for AVL simplicity; solar input stage not captured in 01_power
J3,Connectors,Battery pack connector keyed 2-pos,Molex,Mini-Fit Jr class,THT/crimp,1,0.80,0.80,DigiKey/Mouser,Planned - not yet in KiCad,Keyed against reverse insertion; battery stage not captured in 01_power
J4,Connectors,VSYS raw output header 2-pos,Generic,Conn_01x02 class,THT 2.54mm,1,0.30,0.30,DigiKey/Mouser,Planned - not yet in KiCad,Feeds relay/other-subsystem rails; charger/VSYS stage not captured in 01_power
D_GDT1,Surge Protection - DC-IN,Gas discharge tube primary surge clamp,Littelfuse,CG2-series class,THT/SMD per selection,1,0.60,0.60,DigiKey/Mouser,Planned - not yet in KiCad,"01_power as-built omits the GDT stage - only TVS (D1) + PTC (F1) + NMOS reverse-polarity are captured; add GDT before release if staged surge protection per architecture doc Sec 5.4 is required"
D_TVS1,Surge Protection - DC-IN,Bidirectional TVS diode secondary clamp,Littelfuse/Vishay/onsemi,SMBJ16CA (as-built),SMB (DO-214AA),1,0.25,0.25,DigiKey/Mouser,Captured - 01_power (as-built) as D1,"RefDes changed to D1 in capture. Standoff voltage changed from architecture doc's planned SMBJ36CA (36V) to SMBJ16CA (16V, as-built) - tighter clamp appropriate for a 12V nominal rail, but reviewers should confirm 16V standoff leaves adequate margin above VIN_PROT's worst-case operating voltage before release"
F1,Surge Protection - DC-IN,PTC resettable fuse 1.1A hold,Littelfuse/Bourns,1812L110 class (as-built),SMD 1812,1,0.30,0.30,DigiKey/Mouser,Captured - 01_power (as-built),"Architecture doc specified generic MF-R series class; as-built value is 1.1A hold. Provisional sizing, recheck against measured load current (TODO.md open item)"
D_GDT2,Surge Protection - Solar-IN,Gas discharge tube primary surge clamp,Littelfuse,CG2-series class,THT/SMD per selection,1,0.60,0.60,DigiKey/Mouser,Planned - not yet in KiCad,Same rationale as D_GDT1; solar input stage not captured
D_TVS2,Surge Protection - Solar-IN,Bidirectional TVS diode secondary clamp,Littelfuse,SMBJ36CA class,SMB (DO-214AA),1,0.25,0.25,DigiKey/Mouser,Planned - not yet in KiCad,Same rationale as D_TVS1; solar input stage not captured
F2,Surge Protection - Solar-IN,PTC resettable fuse,Littelfuse/Bourns,MF-R series class,SMD 1812/2920,1,0.30,0.30,DigiKey/Mouser,Planned - not yet in KiCad,Same rationale as F1; solar input stage not captured
U_RP1,Reverse Polarity - DC-IN,Ideal diode controller (architecture-planned approach),Texas Instruments,LM74610-Q1,Small outline per datasheet,1,0.60,0.60,DigiKey/Mouser,Superseded - see Q1 / R_gate1 below,"Architecture doc Sec 4.5 recommended this IC for near-zero voltage drop and fast (~2us) turn-off. As-built 01_power instead uses a simpler self-biased low-side NMOS (Q1 + R_gate1) with no dedicated controller IC - functionally similar (near-zero Rds(on) drop, no series-diode loss) but without the LM74610's guaranteed fast turn-off spec. This is an architectural deviation from the design doc; reviewers should confirm the simpler approach is acceptable or require reinstating the LM74610-Q1 path"
Q_RP1,Reverse Polarity - DC-IN,N-channel MOSFET 40-60V (architecture-planned, paired with LM74610-Q1),TBD,TBD at detailed design,SO-8/DPAK class,1,0.40,0.40,DigiKey/Mouser,Superseded - see Q1 / R_gate1 below,See U_RP1 note - as-built uses Q1 (NMOS_30V_RDSon_20mOhm, TO-252-2) instead
U_RP2,Reverse Polarity - Solar-IN,Ideal diode controller,Texas Instruments,LM74610-Q1,Small outline per datasheet,1,0.60,0.60,DigiKey/Mouser,Planned - not yet in KiCad,Solar input stage not captured
Q_RP2,Reverse Polarity - Solar-IN,N-channel MOSFET 40-60V,TBD,TBD at detailed design,SO-8/DPAK class,1,0.40,0.40,DigiKey/Mouser,Planned - not yet in KiCad,Solar input stage not captured
U1 (charger),Charger / Power Path,I2C dual-input buck-boost battery charger,Texas Instruments,BQ25792,VQFN-40,1,3.00,3.00,DigiKey/Mouser,Planned - not yet in KiCad,"RefDes COLLISION WARNING: the as-built 01_power schematic already uses RefDes ""U1"" for the LT8610AC-3.3 buck regulator. This charger IC must be assigned a different designator (e.g. U2) when the charger stage is captured - do not reuse U1"
L1 (charger inductor),Charger / Power Path,Charger power inductor,TBD,TBD at detailed design,Shielded SMD,1,1.20,1.20,DigiKey/Mouser,Planned - not yet in KiCad,"RefDes COLLISION WARNING: as-built 01_power already uses RefDes ""L1"" for the buck converter inductor. Assign a different designator (e.g. L2) when the charger stage is captured"
Q_SEL1,Charger / Power Path,VAC1 selector back-to-back N-FET pair (2x),TBD,TBD at detailed design,SO-8 class,2,0.35,0.70,DigiKey/Mouser,Planned - not yet in KiCad,Driven by BQ25792 ACDRV1; not reverse-polarity protection (Risk R-6)
Q_SEL2,Charger / Power Path,VAC2 selector back-to-back N-FET pair (2x),TBD,TBD at detailed design,SO-8 class,2,0.35,0.70,DigiKey/Mouser,Planned - not yet in KiCad,Driven by BQ25792 ACDRV2; not reverse-polarity protection (Risk R-6)
C_CHG1,Charger / Power Path,Input/output bulk and decoupling capacitors (support group),TBD,TBD at detailed design,0805/1206/bulk mix,1,1.00,1.00,DigiKey/Mouser,Planned - not yet in KiCad,Check electrolytic lifetime vs SWA-CST-301 at worst thermal zone
CELL1,Battery,LiFePO4 cylindrical cell 26650-class ~3.2-3.5Ah,TBD (EVE/CALB/Lishen class),TBD - lock during AVL qualification,26650 cylindrical,4,3.50,14.00,Arrow/Future Electronics,Planned - not yet in KiCad,4S pack; capacity provisional pending SWA-PWM-201 power budget (Risk R-3)
PACK_HW,Battery,Cell holder / nickel strip / wrap hardware,TBD,TBD,Mechanical,1,1.00,1.00,Arrow/Future Electronics,Planned - not yet in KiCad,Assembly requires safety handling controls per manufacturing_rules.md
NTC1,Battery,Pack temperature thermistor (NTC),TBD,TBD at detailed design,0603/leaded per selection,1,0.10,0.10,DigiKey/Mouser,Planned - not yet in KiCad,Feeds BQ25792 TS pin and/or BQ76920
U2 (protection AFE),Battery Protection,Battery monitor and protector AFE 3S-5S,Texas Instruments,BQ76920,TSSOP,1,2.20,2.20,DigiKey/Mouser,Planned - not yet in KiCad,Single-source today; second-source qualification tracked as Risk R-2. This planned U2 designator does not collide with anything in 01_power
Q_PROT1,Battery Protection,Charge FET (protection),TBD,TBD at detailed design,SO-8 class,1,0.50,0.50,DigiKey/Mouser,Planned - not yet in KiCad,Back-to-back with Q_PROT2
Q_PROT2,Battery Protection,Discharge FET (protection),TBD,TBD at detailed design,SO-8 class,1,0.50,0.50,DigiKey/Mouser,Planned - not yet in KiCad,Back-to-back with Q_PROT1
R_SHUNT1,Battery Protection,Coulomb counting sense resistor,TBD,TBD at detailed design,2512 or similar,1,0.30,0.30,DigiKey/Mouser,Planned - not yet in KiCad,Precision low-value current-sense resistor
F3,Battery Protection,One-time series fuse (tertiary failsafe),Bel Fuse/SCHURTER class,TBD at detailed design,THT/SMD per selection,1,0.40,0.40,DigiKey/Mouser,Planned - not yet in KiCad,Backup to protection FETs
U1,Buck Converter,42V synchronous buck converter fixed 3.3V output,Analog Devices (Linear Tech),LT8610AC-3.3 (as-built),MSOP-16-1EP exposed pad (as-built),1,2.80,2.80,DigiKey/Mouser,Captured - 01_power (as-built),"Architecture doc originally specified LT8609A-3.3 in MSOP-10 as planned RefDes ""U3"". Substituted LT8610AC-3.3 because LT8609A-3.3 has no official KiCad library symbol (TODO.md); RefDes changed to U1 since this is the only IC in the 01_power capture - see charger/protection rows above for the resulting designator collision that must be resolved when those stages are captured. Second-source qualification open (Risk R-2)"
L1,Buck Converter,Buck converter power inductor 4.7uH,TBD (Wurth/Bourns/Coilcraft class),TBD at detailed design,Shielded SMD 10.4x10.4mm,1,0.60,0.60,DigiKey/Mouser,Captured - 01_power (as-built),RefDes changed from architecture doc's planned L2 to L1. Value per LT8610AC application guide
C_BUCK1,Buck Converter,Input/output capacitors and feedback network (support group placeholder),TBD,TBD at detailed design,0603/0805 mix,1,0.40,0.40,DigiKey/Mouser,Superseded - see Cin1/Cin2/Cout1/Cout2/C_BST1/C_INTVCC1/C_SS1/C_FF1/R1/R2/R_RT1/R_EN_TOP1/R_EN_BOT1/R_PG1 below,As-built schematic specifies each support part individually (rows appended below) rather than as one lumped placeholder group
U4,Load Switching,Ultra-low leakage load switch - RF/LoRa rail,Texas Instruments,TPS22919 class,SOT-23,1,0.35,0.35,DigiKey/Mouser,Planned - not yet in KiCad,MCU-controlled power gating for sleep optimization
U5,Load Switching,Ultra-low leakage load switch - RS485/Sensor rail,Texas Instruments,TPS22919 class,SOT-23,1,0.35,0.35,DigiKey/Mouser,Planned - not yet in KiCad,MCU-controlled power gating for sleep optimization
Q1,Reverse Polarity - DC-IN (as-built implementation),N-channel MOSFET 30V 20mOhm - low-side self-biased reverse-polarity switch,TBD (Infineon/Nexperia/onsemi class),TBD at detailed design,TO-252-2 (DPAK),1,0.45,0.45,DigiKey/Mouser,Captured - 01_power (as-built),"Replaces the architecture doc's planned LM74610-Q1 + Q_RP1 pair (see those rows above) with a simpler self-biased topology: gate biased from VIN_PROT through R_gate1. Verified correctly wired in the 2026-07-30 design review after fixing an initial gate-wiring defect (R_gate1 was unconnected)"
R_gate1,Reverse Polarity - DC-IN (as-built implementation),Q1 gate series resistor,Generic,10k 0805,SMD 0805,1,0.02,0.02,DigiKey/Mouser,Captured - 01_power (as-built),Sets Q1's self-bias gate drive from VIN_PROT
Cin1,Buck Converter,Input bulk capacitor 10uF 50V,TBD,TBD at detailed design,SMD 1210,1,0.25,0.25,DigiKey/Mouser,Captured - 01_power (as-built),Parallel pair with Cin2 for ripple current sharing
Cin2,Buck Converter,Input bulk capacitor 10uF 50V,TBD,TBD at detailed design,SMD 1210,1,0.25,0.25,DigiKey/Mouser,Captured - 01_power (as-built),Parallel pair with Cin1
Cout1,Buck Converter,Output capacitor 22uF 16V,TBD,TBD at detailed design,SMD 1206,1,0.15,0.15,DigiKey/Mouser,Captured - 01_power (as-built),Parallel pair with Cout2
Cout2,Buck Converter,Output capacitor 22uF 16V,TBD,TBD at detailed design,SMD 1206,1,0.15,0.15,DigiKey/Mouser,Captured - 01_power (as-built),Parallel pair with Cout1
C_BST1,Buck Converter,Bootstrap capacitor 0.1uF,Generic,0.1uF X7R,SMD 0603,1,0.02,0.02,DigiKey/Mouser,Captured - 01_power (as-built),"BST pin decoupling; verified correctly bridging SW-to-BST in the 2026-07-30 design review after fixing an unrelated SW-node-to-GND short elsewhere in the design"
C_INTVCC1,Buck Converter,INTVCC decoupling capacitor 2.2uF,Generic,2.2uF X7R,SMD 0805,1,0.03,0.03,DigiKey/Mouser,Captured - 01_power (as-built),Internal regulator decoupling
